timestamp,simulated_time,simulated_hour,source,sensor_id,event_type,train_detected,temperature_C,accel_x,accel_y,accel_z,accel_magnitude,vibration,piezo,damage,life_percent
2026-06-08T18:02:40,2026-06-08T00:00:00,0.0,synthetic_demo,DEMO_SENSOR_01,rest,0,11.118,-0.002716,0.007351,0.994713,0.009453,0.023601,0.02093,0.08001,91.999
2026-06-08T18:02:41,2026-06-08T00:12:01,0.2,synthetic_demo,DEMO_SENSOR_01,rest,0,11.293,-0.010483,0.008954,0.996104,0.014326,0.037232,0.025883,0.08002,91.998
2026-06-08T18:02:42,2026-06-08T00:24:05,0.401,synthetic_demo,DEMO_SENSOR_01,rest,0,11.031,0.021881,-0.005956,1.003331,0.02292,0.023076,0.007222,0.08003,91.997
2026-06-08T18:02:43,2026-06-08T00:36:07,0.602,synthetic_demo,DEMO_SENSOR_01,rest,0,11.286,-0.002995,0.013019,0.999258,0.01338,0.027003,0.011568,0.08004,91.996
2026-06-08T18:02:44,2026-06-08T00:48:13,0.804,synthetic_demo,DEMO_SENSOR_01,rest,0,10.955,-0.005701,-0.015851,1.001912,0.016953,0.021102,0.00987,0.08005,91.995
2026-06-08T18:02:45,2026-06-08T01:00:26,1.007,synthetic_demo,DEMO_SENSOR_01,rest,0,11.249,0.00762,-0.002854,0.998772,0.008229,0.024605,0.02303,0.08006,91.994
2026-06-08T18:02:46,2026-06-08T01:12:29,1.208,synthetic_demo,DEMO_SENSOR_01,train_passage,1,11.477,0.079074,0.009186,0.925055,0.109334,0.261372,0.204005,0.080225,91.977
2026-06-08T18:02:47,2026-06-08T01:24:34,1.409,synthetic_demo,DEMO_SENSOR_01,train_passage,1,11.416,-0.316746,0.223274,1.457527,0.599592,1.308158,1.646032,0.081379,91.862
2026-06-08T18:02:48,2026-06-08T01:36:36,1.61,synthetic_demo,DEMO_SENSOR_01,train_passage,1,11.538,0.015274,0.014218,1.158614,0.159981,1.180285,1.449032,0.082395,91.76
2026-06-08T18:02:49,2026-06-08T01:48:37,1.81,synthetic_demo,DEMO_SENSOR_01,rest,0,11.597,0.005136,-0.008822,0.995056,0.011342,0.021129,0.019687,0.082405,91.759
2026-06-08T18:02:50,2026-06-08T02:00:40,2.011,synthetic_demo,DEMO_SENSOR_01,rest,0,12.063,0.003512,-0.001109,1.00171,0.004061,0.034714,0.021011,0.082415,91.758
2026-06-08T18:02:51,2026-06-08T02:12:42,2.212,synthetic_demo,DEMO_SENSOR_01,rest,0,11.961,0.012918,0.002905,0.999727,0.013243,0.030079,0.015543,0.082425,91.757
2026-06-08T18:02:52,2026-06-08T02:24:45,2.413,synthetic_demo,DEMO_SENSOR_01,rest,0,12.249,0.011877,-0.012021,0.998544,0.016961,0.019773,0.023525,0.082435,91.756
2026-06-08T18:02:53,2026-06-08T02:36:48,2.613,synthetic_demo,DEMO_SENSOR_01,rest,0,12.617,-0.001914,0.006382,0.993649,0.009205,0.023561,0.014374,0.082445,91.755
2026-06-08T18:02:54,2026-06-08T02:48:51,2.814,synthetic_demo,DEMO_SENSOR_01,rest,0,13.431,9e-05,-0.010546,1.002455,0.010828,0.023014,0.020528,0.082455,91.754
2026-06-08T18:02:55,2026-06-08T03:00:54,3.015,synthetic_demo,DEMO_SENSOR_01,rest,0,12.873,-0.000519,-0.007895,1.000994,0.007974,0.019388,0.035068,0.082465,91.753
2026-06-08T18:02:56,2026-06-08T03:12:58,3.216,synthetic_demo,DEMO_SENSOR_01,rest,0,13.276,-0.010352,0.007316,1.00036,0.012681,0.02526,0.015217,0.082475,91.752
